"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","38","0","55","0","0"
"cardano","api-epoch","GET: Epoch All List","0","0","15","0","0"
"cardano","api-epoch","GET: Get a epoch detail by its no","0","0","11","0","0"
"cardano","api-epoch","GET: Get block list of epoch by its no","0","0","14","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","0","0","11","0","0"
"cardano","api-stake-key-controller","Get Top Delegators","0","0","6","0","0"
"cardano","api-stake-key-controller","Get Data For Stake Registration","0","0","11","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","0","0","1","0","0"
"cardano","api-transactions","","0","0","0","0","1"
"cardano","api-delegation","","0","0","0","0","1"
"cardano","api-epoch","GET: Get current epoch","0","0","1","0","0"
