"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 17 18:23:14 GMT 2023","Thu Aug 17 18:23:15 GMT 2023","1440","Cardano Regression Suite","Cardano API test ","tests.transaction.TransactionTests","tests.transaction.TransactionTests","get_filter_transaction_success_without_sort","Get filter transaction without sort",""
"failed","Thu Aug 17 18:22:47 GMT 2023","Thu Aug 17 18:22:49 GMT 2023","1433","Cardano Regression Suite","Cardano API test ","tests.stakes.StakeKeyWithdrawalHistoryTests","tests.stakes.StakeKeyWithdrawalHistoryTests","getWithdrawalHistoryWithPage","get stake withdrawal history with page",""
"failed","Thu Aug 17 18:21:33 GMT 2023","Thu Aug 17 18:21:35 GMT 2023","1502","Cardano Regression Suite","Cardano API test ","tests.delegation_controller.DelegationEpochListTests","tests.delegation_controller.DelegationEpochListTests","verifyGetDataFromPoolDetailAnalyticsSuccessfullyWithInvalidPage","verify that get data from pool detail epochs successfully with invalid page",""
"failed","Thu Aug 17 18:23:18 GMT 2023","Thu Aug 17 18:23:20 GMT 2023","1463","Cardano Regression Suite","Cardano API test ","tests.epoch.EpochNoTests","tests.epoch.EpochNoTests","getEpochByNo","Verify get epoch by its no successfully",""
"failed","Thu Aug 17 18:23:45 GMT 2023","Thu Aug 17 18:23:47 GMT 2023","1471","Cardano Regression Suite","Cardano API test ","tests.policies.GetTokenByPolicyTests","tests.policies.GetTokenByPolicyTests","getListTokenByPoliciesWithParam","verify get list tokens by policy with param",""
"failed","Thu Aug 17 18:21:35 GMT 2023","Thu Aug 17 18:21:36 GMT 2023","1547","Cardano Regression Suite","Cardano API test ","tests.delegation_controller.DelegationPoolTopTests","tests.delegation_controller.DelegationPoolTopTests","verifyGetDataFromPoolDetailAnalyticsSuccessfullyWithInvalidSize","verify that get data from header successfully with invalid size ",""
"failed","Thu Aug 17 18:22:17 GMT 2023","Thu Aug 17 18:22:18 GMT 2023","1459","Cardano Regression Suite","Cardano API test ","tests.pool.PoolTests","tests.pool.PoolTests","get_de_registration_pool_list_without_sort","API: Get de-registration pool list without sort",""
"failed","Thu Aug 17 18:21:28 GMT 2023","Thu Aug 17 18:21:32 GMT 2023","3524","Cardano Regression Suite","Cardano API test ","tests.delegation_controller.DelegationHeaderTests","tests.delegation_controller.DelegationHeaderTests","verifyGetDataFromPoolDetailAnalyticsSuccessfully","verify that get data from header successfully",""
"failed","Thu Aug 17 18:22:19 GMT 2023","Thu Aug 17 18:22:21 GMT 2023","1469","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenTopHolder","tests.tokens.TokenTopHolder","getTokenTopHolderWithSize","get token top holders with size",""
"failed","Thu Aug 17 18:22:08 GMT 2023","Thu Aug 17 18:22:10 GMT 2023","1464","Cardano Regression Suite","Cardano API test ","tests.tokens.Tokens","tests.tokens.Tokens","getListTokenSuccessNokey","verify that get list token",""
"failed","Thu Aug 17 18:21:28 GMT 2023","Thu Aug 17 18:21:32 GMT 2023","3517","Cardano Regression Suite","Cardano API test ","tests.delegation_controller.DelegationPoolListTests","tests.delegation_controller.DelegationPoolListTests","verifyGetDataFromPoolListSuccessfully","verify that get data from pool list successfully",""
