"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 10:13:59 GMT 2023","Thu Jun 22 10:14:01 GMT 2023","1920","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticType","get token analytics type",""
"passed","Thu Jun 22 10:13:54 GMT 2023","Thu Jun 22 10:13:57 GMT 2023","3467","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticType","get token analytics type",""
"passed","Thu Jun 22 10:13:57 GMT 2023","Thu Jun 22 10:13:59 GMT 2023","1696","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticType","get token analytics type",""
"passed","Thu Jun 22 10:14:03 GMT 2023","Thu Jun 22 10:14:09 GMT 2023","6712","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticTypeWithTokenIdInvalid","get token analytics type tokenId = @#$",""
"unknown","Thu Jun 22 10:13:54 GMT 2023","Thu Jun 22 10:13:54 GMT 2023","1","Cardano Regression Suite","Cardano API test ","tests.transaction.TransactionTests","tests.transaction.TransactionTests","get_filter_transaction_success_with_sort","Get filter transaction with sort",""
"passed","Thu Jun 22 10:14:22 GMT 2023","Thu Jun 22 10:14:29 GMT 2023","6698","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticTypeWithTokenIdInvalid","get token analytics type tokenId = @#$",""
"passed","Thu Jun 22 10:14:09 GMT 2023","Thu Jun 22 10:14:16 GMT 2023","6506","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticTypeWithTokenIdInvalid","get token analytics type tokenId = @#$",""
"passed","Thu Jun 22 10:14:16 GMT 2023","Thu Jun 22 10:14:22 GMT 2023","6460","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticTypeWithTokenIdInvalid","get token analytics type tokenId = @#$",""
"passed","Thu Jun 22 10:14:01 GMT 2023","Thu Jun 22 10:14:03 GMT 2023","1653","Cardano Regression Suite","Cardano API test ","tests.tokens.TokenAnalyticType","tests.tokens.TokenAnalyticType","getTokenAnalyticType","get token analytics type",""
