"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"cardano","api-stake-key-controller","Get Top Delegators","0","0","12","0","0"
"cardano","api-epoch","GET: Get a epoch detail by its no","0","1","5","0","0"
"","","","66","9","81","0","0"
"cardano","api-block","","0","0","32","0","0"
"cardano","api-delegation","","16","0","3","0","0"
"cardano","api-addresses","","5","0","18","0","0"
"cardano","api-transactions","","4","0","36","0","1"
"cardano","api-pools","","4","0","28","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","0","0","12","0","0"
"cardano","api-contract","","0","0","6","0","0"
"cardano","api-policy_controller","Get a policy detail","1","0","5","0","0"
"cardano","api-epoch","GET: Get block list of epoch by its no","0","0","14","0","0"
"cardano","api-epoch","GET: Epoch All List","0","12","1","0","0"
"cardano","api-stake-key-controller","Get Data For Stake Registration","0","0","12","0","0"
"cardano","api-policy_controller","Get tokens by policies","1","1","5","0","0"
"cardano","api-policy_controller","Get holders by policies","0","3","3","0","0"
"cardano","api-epoch","GET: Get current epoch","0","0","1","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","0","0","1","0","0"
