"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"cardano","api-addresses","","5","0","32","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","0","0","11","0","0"
"","","","0","0","82","0","0"
"cardano","api-stake-key-controller","Get Data For Stake Registration","0","0","11","0","0"
"cardano","api-transactions","Transactions test","9","0","29","0","1"
"cardano","api-contract","Get list contract","0","0","9","0","0"
"cardano","api-contract","Get native script of contract","0","0","2","0","0"
"cardano","api-stake-key-controller","StakeKey Scenario","0","0","2","0","0"
"cardano","api-transactions","Transactions Scenario test","0","0","3","0","0"
"cardano","api-stake-key-controller","Get Top Delegators","0","0","6","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","0","0","1","0","0"
